"name","phone"
"CÔNG TY TNHH RƯỢU VÀ ĐỒ UỐNG CÓ CỒN PERNOD RICARD VIỆT NAM","846503766820"
"CÔNG TY TNHH NGŨ KIM SƯƠNG THỊNH","0586500588"
"DOANH NGHIỆP TƯ NHÂN  PHẾ LIỆU LÊ PHÚ","0971485153"
"CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - XÂY DỰNG VẠN PHÁT HOLDINGS","0913110887"
"CÔNG TY TNHH CYBER CITY PRINTING AND PACKAGING PRODUCTS (VIETNAM)","85269030869"
"CÔNG TY TNHH ĐẦU TƯ - KINH DOANH THIÊN LONG","0772667339"
"CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ TRƯỜNG THUẬN","84978069586"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT GIA CÔNG GỖ TUẤN PHÁT","0973874919"
"CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI VÀ SẢN XUẤT AN VIỆT PHÁT","0919659027"
"CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI PHƯỚC ĐẠT","0937388234"
"CÔNG TY TNHH  ART VIỆT MỸ","0909355616"
"CÔNG TY TNHH  THƯƠNG MẠI DỊCH VỤ XÂY DỰNG DUY PHÚC","0961416916"
"CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG CƠ KHÍ VÀ THIẾT KẾ THI CÔNG KIM HOÀNG QUÂN","0906025018"
"CÔNG TY TNHH SỞ LƯU HƯƠNG DƯƠNG KÝ","0352600168"
"CÔNG TY TNHH ZHE YIN LI VIỆT NAM","0971974462"
"CÔNG TY TNHH MTV HIỆP HUY","0967288577"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐIỆN MÁY NỘI THẤT THÀNH PHÁT","0905682369"
"CÔNG TY TNHH TM DV & SX PHƯỚC SANG","0933598669"
"CÔNG TY TNHH CƯỜNG PHONG PHÁT","0986682925"
"CÔNG TY CỔ PHẦN  ĐẦU TƯ VÀ XÂY DỰNG VIỄN ĐÔNG BÌNH DƯƠNG","0928608202"
"CÔNG TY TNHH NỘI THẤT SƠN QUÂN","0333697726"
"CÔNG TY TNHH SEIKO TIẾN TRANG","0963380549"
"CÔNG TY TNHH DỊCH VỤ BẢO VỆ AN NINH VIỆT 24","0963332277"
"CÔNG TY TNHH PHÚ THỊNH (NỘP HỘ NTNN)","065075001475"
"CÔNG TY TNHH SX - TM - DV CƠ KHÍ BDP","0987164676"
"CÔNG TY CỔ PHẦN ĐẦU TƯ SNP","0898303639"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẮT THÉP QUỐC CƯỜNG","0944191819"
"CÔNG TY TNHH  NHẬT MINH BDQN","0905035916"
"CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI CƠ KHÍ XÂY DỰNG HOÀNG HIỆP PHÁT","0917169237097859000"
"CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI PHÁT QUỐC HUY","0969293696"
"CÔNG TY TNHH SẢN XUẤT MAY MẶC NGUYỄN HÙNG","0862427147"
"CÔNG TY TNHH MTV PHÁT TRIỂN KỸ NĂNG BẢO VÂN","0919876620"
"CÔNG TY TNHH MỘT THÀNH VIÊN MINH ĐẠI THÀNH","0868673959"
"CÔNG TY TNHH JF GLOBAL","0903928428"
"CÔNG TY TNHH CƠ KHÍ THIÊN BẢO","0931320112"
"CÔNG TY TNHH DỊCH VỤ BẢO VỆ HOÀNG NGỌC LONG","0989280312"
"CÔNG TY TNHH DỊCH VỤ TÀI CHÍNH SÁNG HOÀNG","0707935333"
"CÔNG TY TNHH PHÁT TRIỀN THƯƠNG MẠI PHÁT NHẬT HUY","0946806864"
"CÔNG TY TNHH CUNG ỨNG GIẢI PHÁP VẬT LIỆU XANH","0906081832"
"CÔNG TY TNHH SX THƯƠNG MẠI HÓA DẦU THÀNH ĐẠT","0901403430"
"CÔNG TY TNHH BAO BÌ VINA HSINLUNG (NỘP HỘ NTNN)","065843060"
